Entity,Code,Year,Emissions
Germany,DEU,1819,3275616
Germany,DEU,1820,3381872
Germany,DEU,1821,3532096
Germany,DEU,1822,3631024
Germany,DEU,1823,4034063.8
Germany,DEU,1824,3231648
Germany,DEU,1825,4338176
Germany,DEU,1826,4187952
Germany,DEU,1827,4539696
Germany,DEU,1828,4539696
Germany,DEU,1829,3631024
Germany,DEU,1830,4792512
Germany,DEU,1831,4590992
Germany,DEU,1832,3447824
Germany,DEU,1833,4378480
Germany,DEU,1834,4411456
Germany,DEU,1835,4931744
Germany,DEU,1836,5191888
Germany,DEU,1837,5950336
Germany,DEU,1838,6631840
Germany,DEU,1839,7020224
Germany,DEU,1840,9174656
Germany,DEU,1841,9548384
Germany,DEU,1842,10882080
Germany,DEU,1843,10299504
Germany,DEU,1844,10882080
Germany,DEU,1845,12611488
Germany,DEU,1846,13186736
Germany,DEU,1847,13838928
Germany,DEU,1848,12827664
Germany,DEU,1849,13622752
Germany,DEU,1850,15139648
Germany,DEU,1851,16869056
Germany,DEU,1852,19173712
Germany,DEU,1853,20760224
Germany,DEU,1854,24365600
Germany,DEU,1855,28615840
Germany,DEU,1856,30924160
Germany,DEU,1857,32939362
Germany,DEU,1858,35610416
Germany,DEU,1859,33807730
Germany,DEU,1860,36394510
Germany,DEU,1861,41329920
Germany,DEU,1862,45539856
Germany,DEU,1863,49383390
Germany,DEU,1864,56641776
Germany,DEU,1865,63467810
Germany,DEU,1866,62907216
Germany,DEU,1867,69154340
Germany,DEU,1868,74368210
Germany,DEU,1869,77592530
Germany,DEU,1870,76639890
Germany,DEU,1871,85349220
Germany,DEU,1872,92109300
Germany,DEU,1873,98367410
Germany,DEU,1874,71594560
Germany,DEU,1875,101518450
Germany,DEU,1876,103438380
Germany,DEU,1877,101302270
Germany,DEU,1878,104544910
Germany,DEU,1879,110846990
Germany,DEU,1880,124502720
Germany,DEU,1881,134263620
Germany,DEU,1882,143665440
Germany,DEU,1883,153092910
Germany,DEU,1884,157526350
Germany,DEU,1885,161183020
Germany,DEU,1886,163033340
Germany,DEU,1887,170390660
Germany,DEU,1888,186347380
Germany,DEU,1889,198848940
Germany,DEU,1890,208232450
Germany,DEU,1891,220840270
Germany,DEU,1892,214988860
Germany,DEU,1893,220712030
Germany,DEU,1894,229498300
Germany,DEU,1895,238284580
Germany,DEU,1896,256260160
Germany,DEU,1897,273554240
Germany,DEU,1898,285377950
Germany,DEU,1899,303283940
Germany,DEU,1900,326759200
Germany,DEU,1901,325557400
Germany,DEU,1902,319189380
Germany,DEU,1903,343598940
Germany,DEU,1904,356122460
Germany,DEU,1905,382323740
Germany,DEU,1906,361937250
Germany,DEU,1907,442182530
Germany,DEU,1908,446641600
Germany,DEU,1909,445571700
Germany,DEU,1910,445366530
Germany,DEU,1911,458586240
Germany,DEU,1912,499121060
Germany,DEU,1913,535083260
Germany,DEU,1914,497926600
Germany,DEU,1915,462906100
Germany,DEU,1916,500696600
Germany,DEU,1917,524578560
Germany,DEU,1918,503422600
Germany,DEU,1919,387427700
Germany,DEU,1920,429208300
Germany,DEU,1921,473179970
Germany,DEU,1922,455460830
Germany,DEU,1923,331929100
Germany,DEU,1924,451793180
Germany,DEU,1925,458065950
Germany,DEU,1926,413236900
Germany,DEU,1927,481185800
Germany,DEU,1928,505010900
Germany,DEU,1929,539234750
Germany,DEU,1930,462091780
Germany,DEU,1931,385964900
Germany,DEU,1932,347485760
Germany,DEU,1933,364980800
Germany,DEU,1934,408619780
Germany,DEU,1935,452332830
Germany,DEU,1936,499634430
Germany,DEU,1937,563512600
Germany,DEU,1938,601272640
Germany,DEU,1939,648625500
Germany,DEU,1940,654325000
Germany,DEU,1941,660793200
Germany,DEU,1942,667899400
Germany,DEU,1943,679430140
Germany,DEU,1944,600273150
Germany,DEU,1945,116064530
Germany,DEU,1946,271682430
Germany,DEU,1947,317660030
Germany,DEU,1948,377816400
Germany,DEU,1949,432148030
Germany,DEU,1950,510681820
Germany,DEU,1951,576865540
Germany,DEU,1952,610980600
Germany,DEU,1953,623492030
Germany,DEU,1954,659731900
Germany,DEU,1955,723498430
Germany,DEU,1956,766190800
Germany,DEU,1957,777907650
Germany,DEU,1958,756379140
Germany,DEU,1959,755794560
Germany,DEU,1960,813950200
Germany,DEU,1961,834839600
Germany,DEU,1962,883168600
Germany,DEU,1963,945498000
Germany,DEU,1964,968917500
Germany,DEU,1965,960102200
Germany,DEU,1966,951422000
Germany,DEU,1967,936229440
Germany,DEU,1968,984790850
Germany,DEU,1969,1052000830
Germany,DEU,1970,1026022340
Germany,DEU,1971,1037236800
Germany,DEU,1972,1041480960
Germany,DEU,1973,1085738400
Germany,DEU,1974,1062726900
Germany,DEU,1975,1002447000
Germany,DEU,1976,1090840400
Germany,DEU,1977,1052608500
Germany,DEU,1978,1079132500
Germany,DEU,1979,1117888300
Germany,DEU,1980,1100066000
Germany,DEU,1981,1048523300
Germany,DEU,1982,1015733900
Germany,DEU,1983,1011604900
Germany,DEU,1984,1033244600
Germany,DEU,1985,1044117900
Germany,DEU,1986,1047471940
Germany,DEU,1987,1032442900
Germany,DEU,1988,1029024200
Germany,DEU,1989,1008792400
Germany,DEU,1990,1054795900
Germany,DEU,1991,1016929540
Germany,DEU,1992,969464400
Germany,DEU,1993,959385900
Germany,DEU,1994,943227650
Germany,DEU,1995,939933600
Germany,DEU,1996,959690100
Germany,DEU,1997,931508100
Germany,DEU,1998,923498700
Germany,DEU,1999,895442050
Germany,DEU,2000,898975740
Germany,DEU,2001,915254800
Germany,DEU,2002,898834300
Germany,DEU,2003,894501060
Germany,DEU,2004,876569860
Germany,DEU,2005,867880600
Germany,DEU,2006,886434300
Germany,DEU,2007,846116160
Germany,DEU,2008,856607400
Germany,DEU,2009,789950700
Germany,DEU,2010,826679940
Germany,DEU,2011,804513800
Germany,DEU,2012,814090240
Germany,DEU,2013,831742850
Germany,DEU,2014,792578750
Germany,DEU,2015,800844500
Germany,DEU,2016,798013630
Germany,DEU,2017,784593860
Germany,DEU,2018,760046340
Germany,DEU,2019,709826700
Germany,DEU,2020,648356860
Germany,DEU,2021,678777300
Germany,DEU,2022,671471550
Germany,DEU,2023,596151360
India,IND,1858,394488
India,IND,1859,636485
India,IND,1860,643115
India,IND,1861,497254
India,IND,1862,550294
India,IND,1863,609965
India,IND,1864,576814
India,IND,1865,566869
India,IND,1866,639800
India,IND,1878,1766908
India,IND,1879,1684382
India,IND,1880,1886773
India,IND,1881,1839333
India,IND,1882,2196293
India,IND,1883,2440906
India,IND,1884,2730012
India,IND,1885,2459401
India,IND,1886,2772061
India,IND,1887,3066015
India,IND,1888,3409552
India,IND,1889,4021827.2
India,IND,1890,4431669
India,IND,1891,4772419
India,IND,1892,5247290
India,IND,1893,5543189
India,IND,1894,5616704
India,IND,1895,7034702
India,IND,1896,7608026
India,IND,1897,8253373
India,IND,1898,9125185
India,IND,1899,10054478
India,IND,1900,11929561
India,IND,1901,13179677
India,IND,1902,14515422
India,IND,1903,14802121
India,IND,1904,16561007
India,IND,1905,16930720
India,IND,1906,19549416
India,IND,1907,21772400
India,IND,1908,24908242
India,IND,1909,24142650
India,IND,1910,23487316
India,IND,1911,24782446
India,IND,1912,28521446
India,IND,1913,31466760
India,IND,1914,31698144
India,IND,1915,33141720
India,IND,1916,33517506
India,IND,1917,35019770
India,IND,1918,39359310
India,IND,1919,42974760
India,IND,1920,34867976
India,IND,1921,37505520
India,IND,1922,36903370
India,IND,1923,37971890
India,IND,1924,40627950
India,IND,1925,40084930
India,IND,1926,39942580
India,IND,1927,41883788
India,IND,1928,40072960
India,IND,1929,41707876
India,IND,1930,42399496
India,IND,1931,38851024
India,IND,1932,36129476
India,IND,1933,35467340
India,IND,1934,39611030
India,IND,1935,41393200
India,IND,1936,40684480
India,IND,1937,45067284
India,IND,1938,50379656
India,IND,1939,49312224
India,IND,1940,52309530
India,IND,1941,53581100
India,IND,1942,53529536
India,IND,1943,46644424
India,IND,1944,47695988
India,IND,1945,52874036
India,IND,1946,52225000
India,IND,1947,53180280
India,IND,1948,53204080
India,IND,1949,56187840
India,IND,1950,61102560
India,IND,1951,64022116
India,IND,1952,67426140
India,IND,1953,68704824
India,IND,1954,72413624
India,IND,1955,78787740
India,IND,1956,81656370
India,IND,1957,91635350
India,IND,1958,95815784
India,IND,1959,101447256
India,IND,1960,111325050
India,IND,1961,120404270
India,IND,1962,132581544
India,IND,1963,142444140
India,IND,1964,139488270
India,IND,1965,153701940
India,IND,1966,159373390
India,IND,1967,159555820
India,IND,1968,174069330
India,IND,1969,177413360
India,IND,1970,181722640
India,IND,1971,191963680
India,IND,1972,203035980
India,IND,1973,209095040
India,IND,1974,215853180
India,IND,1975,234209120
India,IND,1976,244749380
India,IND,1977,258961730
India,IND,1978,263149570
India,IND,1979,276284740
India,IND,1980,291711100
India,IND,1981,314966180
India,IND,1982,325380000
India,IND,1983,352198850
India,IND,1984,361559460
India,IND,1985,397592100
India,IND,1986,426309380
India,IND,1987,455343040
India,IND,1988,491692160
India,IND,1989,540651100
India,IND,1990,577996000
India,IND,1991,615365000
India,IND,1992,655447040
India,IND,1993,677299260
India,IND,1994,714063740
India,IND,1995,760461630
India,IND,1996,823620700
India,IND,1997,858011200
India,IND,1998,875772350
India,IND,1999,960762940
India,IND,2000,986444700
India,IND,2001,1000526700
India,IND,2002,1032139800
India,IND,2003,1067736960
India,IND,2004,1133827600
India,IND,2005,1194592400
India,IND,2006,1292484600
India,IND,2007,1392506000
India,IND,2008,1489437400
India,IND,2009,1612216300
India,IND,2010,1677337200
India,IND,2011,1764712400
India,IND,2012,1925699700
India,IND,2013,1995098100
India,IND,2014,2148343800
India,IND,2015,2234219500
India,IND,2016,2354658000
India,IND,2017,2426606800
India,IND,2018,2593057800
India,IND,2019,2612888000
India,IND,2020,2421552000
India,IND,2021,2674221800
India,IND,2022,2831166200
India,IND,2023,3062324500
United States,USA,1800,252815.98
United States,USA,1801,267472
United States,USA,1802,289456
United States,USA,1803,296784
United States,USA,1804,333424
United States,USA,1805,340752
United States,USA,1806,333424
United States,USA,1807,377392
United States,USA,1808,392048
United States,USA,1809,403040
United States,USA,1810,417696
United States,USA,1811,447008
United States,USA,1812,483648
United States,USA,1813,520288
United States,USA,1814,560592
United States,USA,1815,600896
United States,USA,1816,663184
United States,USA,1817,718144
United States,USA,1818,780432
United States,USA,1819,762112
United States,USA,1820,791424
United States,USA,1821,828064
United States,USA,1822,864704
United States,USA,1823,901344
United States,USA,1824,1014928
United States,USA,1825,1135840
United States,USA,1826,1315376
United States,USA,1827,1447280
United States,USA,1828,1593840
United States,USA,1829,1795360
United States,USA,1830,2088480
United States,USA,1831,2264352
United States,USA,1832,3022800
United States,USA,1833,3528432
United States,USA,1834,3381872
United States,USA,1835,4316192
United States,USA,1836,4730224
United States,USA,1837,5305472
United States,USA,1838,5030672
United States,USA,1839,5517984
United States,USA,1840,5873392
United States,USA,1841,6214144
United States,USA,1842,6917632
United States,USA,1843,7764016
United States,USA,1844,9306560
United States,USA,1845,11204512
United States,USA,1846,12710416
United States,USA,1847,15070032
United States,USA,1848,16784784
United States,USA,1849,18221072
United States,USA,1850,19792928
United States,USA,1851,24633072
United States,USA,1852,26791168
United States,USA,1853,30162048
United States,USA,1854,33159198
United States,USA,1855,38160560
United States,USA,1856,40036530
United States,USA,1857,41055120
United States,USA,1858,41648690
United States,USA,1859,45320016
United States,USA,1860,47437810
United States,USA,1861,45679090
United States,USA,1862,47448800
United States,USA,1863,54809776
United States,USA,1864,58656976
United States,USA,1865,58821856
United States,USA,1866,59232224
United States,USA,1867,72865970
United States,USA,1868,82352060
United States,USA,1869,93695810
United States,USA,1870,98620220
United States,USA,1871,103020690
United States,USA,1872,126305410
United States,USA,1873,139506800
United States,USA,1874,134296590
United States,USA,1875,135747540
United States,USA,1876,132820010
United States,USA,1877,147175550
United States,USA,1878,143903600
United States,USA,1879,175468960
United States,USA,1880,198684240
United States,USA,1881,210192900
United States,USA,1882,235393950
United States,USA,1883,253882580
United States,USA,1884,267589570
United States,USA,1885,272162270
United States,USA,1886,287463170
United States,USA,1887,307380830
United States,USA,1888,373875100
United States,USA,1889,335542400
United States,USA,1890,401747300
United States,USA,1891,427424580
United States,USA,1892,450449200
United States,USA,1893,454094850
United States,USA,1894,425050370
United States,USA,1895,479948100
United States,USA,1896,480882460
United States,USA,1897,500287140
United States,USA,1898,545321500
United States,USA,1899,625534000
United States,USA,1900,662738400
United States,USA,1901,721527550
United States,USA,1902,764495740
United States,USA,1903,894406900
United States,USA,1904,882057540
United States,USA,1905,986482400
United States,USA,1906,1035471170
United States,USA,1907,1203861500
United States,USA,1908,1052812860
United States,USA,1909,1165706200
United States,USA,1910,1271582100
United States,USA,1911,1258666600
United States,USA,1912,1343565600
United States,USA,1913,1442542100
United States,USA,1914,1317980300
United States,USA,1915,1367697000
United States,USA,1916,1518980700
United States,USA,1917,1670970600
United States,USA,1918,1747718100
United States,USA,1919,1479158800
United States,USA,1920,1738245800
United States,USA,1921,1423668600
United States,USA,1922,1435758300
United States,USA,1923,1896735900
United States,USA,1924,1698320300
United States,USA,1925,1758185500
United States,USA,1926,1906048500
United States,USA,1927,1862839200
United States,USA,1928,1830965000
United States,USA,1929,1963506200
United States,USA,1930,1744916200
United States,USA,1931,1484959100
United States,USA,1932,1257814100
United States,USA,1933,1348876800
United States,USA,1934,1436238600
United States,USA,1935,1492320900
United States,USA,1936,1713411700
United States,USA,1937,1792609900
United States,USA,1938,1515749900
United States,USA,1939,1670920400
United States,USA,1940,1874985100
United States,USA,1941,2043585000
United States,USA,1942,2198264800
United States,USA,1943,2272059100
United States,USA,1944,2444903700
United States,USA,1945,2359551500
United States,USA,1946,2257493800
United States,USA,1947,2485854500
United States,USA,1948,2582558700
United States,USA,1949,2164862200
United States,USA,1950,2541485300
United States,USA,1951,2618711600
United States,USA,1952,2551219500
United States,USA,1953,2612971300
United States,USA,1954,2489462300
United States,USA,1955,2728512000
United States,USA,1956,2859995000
United States,USA,1957,2835772200
United States,USA,1958,2747107600
United States,USA,1959,2831923200
United States,USA,1960,2897315000
United States,USA,1961,2886872800
United States,USA,1962,2993902000
United States,USA,1963,3126487600
United States,USA,1964,3264313600
United States,USA,1965,3399547000
United States,USA,1966,3571421400
United States,USA,1967,3705461000
United States,USA,1968,3840919600
United States,USA,1969,4035145200
United States,USA,1970,4339686000
United States,USA,1971,4365465000
United States,USA,1972,4573015000
United States,USA,1973,4785434000
United States,USA,1974,4621419000
United States,USA,1975,4478563000
United States,USA,1976,4748111400
United States,USA,1977,4889953300
United States,USA,1978,4941708300
United States,USA,1979,5008955400
United States,USA,1980,4808877600
United States,USA,1981,4686743000
United States,USA,1982,4447602000
United States,USA,1983,4429711000
United States,USA,1984,4662488000
United States,USA,1985,4652938000
United States,USA,1986,4663711000
United States,USA,1987,4826012700
United States,USA,1988,5050858500
United States,USA,1989,5132543500
United States,USA,1990,5120957000
United States,USA,1991,5062956500
United States,USA,1992,5174227500
United States,USA,1993,5272850400
United States,USA,1994,5364279300
United States,USA,1995,5425259500
United States,USA,1996,5612983000
United States,USA,1997,5688142300
United States,USA,1998,5733281000
United States,USA,1999,5803918000
United States,USA,2000,6010135600
United States,USA,2001,5907739600
United States,USA,2002,5946308000
United States,USA,2003,6010145300
United States,USA,2004,6112655000
United States,USA,2005,6132183000
United States,USA,2006,6052686000
United States,USA,2007,6130123000
United States,USA,2008,5915118600
United States,USA,2009,5480725500
United States,USA,2010,5679715300
United States,USA,2011,5546116000
United States,USA,2012,5344086000
United States,USA,2013,5480156700
United States,USA,2014,5528681000
United States,USA,2015,5376473000
United States,USA,2016,5252932000
United States,USA,2017,5212162000
United States,USA,2018,5377797000
United States,USA,2019,5262145000
United States,USA,2020,4714628000
United States,USA,2021,5032213000
United States,USA,2022,5078871000
United States,USA,2023,4911391000
